BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,387, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,370, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,340, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,361, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,417, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,490, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,508, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,538, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,488, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,542, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,613, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,578, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,434, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,354, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,345, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,268, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,197, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,106, 
4401,Arbon,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,43, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,364, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,345, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,317, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,304, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,401, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,438, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,469, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,479, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,452, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,513, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,607, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,528, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,428, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,406, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,386, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,348, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,279, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,176, 
4401,Arbon,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,99, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,13, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,25, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,29, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,10, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,23, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,17, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,18, 
4406,Dozwil,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,21, 
